n_adj,n_adp,n_adv,n_aux,n_cconj,n_det,n_intj,n_noun,n_num,n_part,n_pron,n_propn,n_punct,n_sconj,n_sym,n_verb,n_space,n_uadj,n_uadp,n_uadv,n_uaux,n_ucconj,n_udet,n_uintj,n_unoun,n_unum,n_upart,n_upron,n_upropn,n_upunct,n_usconj,n_usym,n_uverb,n_uspace,a_word_ps,a_bry_ps,corr_ttr
2,4,1,2,2,1,1,10,0,1,3,0,8,0,0,2,2,1,1,1,1,1,1,1,1,0,1,3,0,1,0,0,1,1,9.5,2.5,0.459
4,7,2,3,3,6,0,16,0,4,1,8,9,1,0,8,2,1,1,1,3,1,1,0,1,0,2,1,1,1,1,0,1,1,37.0,7.0,0.329
6,9,2,8,2,7,0,21,0,4,9,3,11,3,3,15,2,1,1,1,3,1,1,0,1,0,2,7,1,1,1,1,1,1,20.4,13.6,0.7
8,10,7,7,6,8,1,17,1,4,5,0,12,3,1,15,1,1,1,1,3,1,1,1,1,1,2,2,0,1,1,1,1,1,21.2,6.2,0.343
1,2,0,2,1,1,0,3,0,0,4,4,2,1,0,2,0,1,1,0,1,1,1,0,1,0,0,2,1,1,1,0,1,0,23.0,18.0,0.442
3,6,3,3,4,2,0,7,2,0,5,0,0,0,0,4,0,1,1,1,3,1,1,0,1,1,0,2,0,0,0,0,2,0,19.5,12.0,0.453
8,6,4,9,2,3,0,12,1,3,18,0,9,3,0,12,1,1,1,1,3,1,1,0,1,1,2,7,0,1,1,0,3,1,22.75,20.25,0.889
4,7,5,6,3,10,0,19,0,1,11,4,10,3,0,14,0,1,1,1,3,1,1,0,1,0,1,5,1,1,1,0,2,0,32.333,14.667,0.503
2,2,3,1,2,3,0,8,0,1,9,1,5,1,2,8,0,1,1,1,1,1,1,0,1,0,1,2,1,1,1,1,3,0,15.333,6.333,0.417
0,1,0,3,0,1,0,5,0,0,6,0,5,0,0,1,0,0,1,0,2,0,1,0,1,0,0,4,0,1,0,0,1,0,11.0,6.5,0.754
4,2,1,3,1,2,0,5,1,3,2,0,3,0,0,3,0,1,1,1,2,1,1,0,1,1,2,2,0,1,0,0,1,0,10.0,4.333,0.516
2,1,1,5,1,1,0,4,0,3,5,0,4,0,0,5,0,1,1,1,1,1,1,0,1,0,1,4,0,1,0,0,1,0,10.667,4.667,0.5
1,4,1,3,1,2,0,6,0,0,4,1,2,0,0,2,0,1,1,1,1,1,1,0,1,0,0,4,1,1,0,0,2,0,27.0,15.0,0.816
7,5,2,4,2,7,0,11,1,0,7,0,7,2,0,5,0,1,1,1,2,1,1,0,1,1,0,6,0,1,1,0,1,0,59.0,29.0,0.736
0,9,6,4,5,8,0,15,1,0,15,4,6,6,0,16,0,0,1,1,3,1,1,0,1,1,0,6,1,1,1,0,2,0,23.75,12.75,0.58
5,2,5,3,1,2,0,7,0,0,9,0,7,2,0,5,4,1,1,1,1,1,1,0,1,0,0,4,0,1,1,0,3,1,52.0,38.0,0.588
8,7,7,12,3,11,0,20,1,3,13,0,7,3,0,11,0,1,1,1,2,1,1,0,1,1,2,5,0,1,1,0,1,0,17.667,7.167,0.481
9,7,6,6,2,9,0,10,0,3,10,1,9,1,0,4,2,1,1,1,2,1,1,0,1,0,1,5,1,1,1,0,1,1,26.333,16.0,0.557
0,3,1,1,0,1,0,2,1,0,5,0,3,0,0,2,0,0,1,1,1,0,1,0,1,1,0,3,0,1,0,0,1,0,6.333,2.667,0.649
0,2,1,4,0,1,1,4,2,2,5,0,3,1,0,2,0,0,1,1,3,0,1,1,1,1,1,3,0,1,1,0,1,0,27.0,31.0,0.816
2,5,3,7,3,6,0,12,3,2,14,6,12,1,0,11,0,1,1,1,2,1,1,0,1,1,2,4,1,1,1,0,1,0,17.4,7.6,0.455
2,4,1,2,0,0,0,4,0,1,2,0,2,1,0,2,0,1,1,1,2,0,0,0,1,0,1,2,0,1,1,0,1,0,21.0,10.0,0.617
8,6,4,12,5,5,0,12,0,1,8,0,5,4,0,7,1,1,1,1,3,1,1,0,1,0,1,4,0,1,1,0,1,1,26.0,10.667,0.56
4,8,4,8,3,11,0,19,6,2,9,1,11,3,1,11,2,1,1,1,3,1,1,0,1,1,2,3,1,1,1,1,1,1,20.4,7.2,0.42
5,3,5,6,1,5,0,13,1,3,6,0,10,3,0,12,0,1,1,1,3,1,1,0,1,1,2,3,0,1,1,0,2,0,9.125,6.375,0.579
5,0,2,1,2,4,1,2,1,0,5,0,6,1,0,5,0,1,0,1,1,1,1,1,1,1,0,3,0,1,1,0,1,0,9.0,2.75,0.471
0,1,0,0,0,0,1,3,0,1,5,0,0,1,0,4,0,0,1,0,0,0,0,1,1,0,1,3,0,0,1,0,1,0,16.0,8.0,0.53
4,8,12,5,5,4,1,9,2,3,9,4,9,3,0,18,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,0,1,1,24.5,4.25,0.286
8,12,7,7,7,3,0,18,3,2,19,1,11,5,1,16,0,1,1,1,2,1,1,0,1,1,1,6,1,1,1,1,2,0,59.5,32.5,0.454
22,43,24,15,12,21,0,67,2,4,20,0,26,4,3,27,4,1,1,1,3,1,1,0,1,1,2,7,0,1,1,1,2,1,20.929,5.929,0.413
18,21,20,19,12,12,0,35,4,8,42,0,19,12,2,30,5,1,1,1,5,1,1,0,1,1,2,6,0,1,1,1,1,1,28.444,18.119,0.486
4,9,3,4,2,4,0,9,3,1,2,5,4,3,0,7,0,1,1,1,3,1,1,0,1,1,1,2,1,1,1,0,1,0,20.0,7.333,0.456
5,5,9,7,2,3,2,11,3,0,14,4,15,1,0,10,1,1,1,1,3,1,1,1,1,1,0,5,1,1,1,0,1,1,13.143,8.857,0.59
2,6,7,3,0,4,0,10,3,0,5,0,4,0,0,5,1,1,1,1,2,0,1,0,1,1,0,3,0,1,0,0,2,1,16.667,15.333,0.5
2,1,1,2,0,0,0,5,1,0,5,12,15,1,4,2,4,1,1,1,1,0,0,0,1,1,0,4,1,1,1,1,1,1,26.0,10.0,0.49
9,8,1,5,3,6,0,9,4,3,12,3,4,3,0,4,0,1,1,1,2,1,1,0,1,1,1,4,1,1,1,0,1,0,18.5,9.75,0.493
1,3,2,5,0,5,0,6,0,0,5,2,4,0,0,4,1,1,1,1,3,0,1,0,1,0,0,3,1,1,0,0,1,1,12.667,5.333,0.574
3,7,5,5,1,4,0,12,0,1,10,2,6,0,0,7,0,1,1,1,3,1,1,0,1,0,1,4,1,1,0,0,1,0,12.6,7.6,0.624
1,4,1,4,1,2,0,11,0,0,7,1,8,0,3,3,3,1,1,1,2,1,1,0,1,0,0,3,1,1,0,1,1,1,15.333,8.667,0.417
6,6,7,9,0,5,1,7,0,5,13,0,5,5,0,9,1,1,1,1,2,0,1,1,1,0,2,5,0,1,1,0,1,1,19.75,20.0,0.557
0,2,0,5,0,1,0,2,0,0,8,0,4,1,0,3,0,0,1,0,1,0,1,0,1,0,0,3,0,1,1,0,2,0,8.667,8.667,0.555
0,2,1,2,3,0,0,5,0,1,6,0,2,0,0,5,0,0,1,1,2,1,0,0,1,0,1,4,0,1,0,0,1,0,27.0,26.571,0.953
