n_adj,n_adp,n_adv,n_aux,n_cconj,n_det,n_intj,n_noun,n_num,n_part,n_pron,n_propn,n_punct,n_sconj,n_sym,n_verb,n_space,n_uadj,n_uadp,n_uadv,n_uaux,n_ucconj,n_udet,n_uintj,n_unoun,n_unum,n_upart,n_upron,n_upropn,n_upunct,n_usconj,n_usym,n_uverb,n_uspace,a_word_ps,a_bry_ps,corr_ttr
2,5,1,4,0,1,0,4,0,0,7,0,3,0,0,5,0,1,1,1,2,0,1,0,1,0,0,2,0,1,0,0,2,0,16.0,16.5,0.5
2,6,2,3,3,2,2,17,0,0,11,1,17,1,1,11,1,1,1,1,2,1,1,1,1,0,0,4,1,1,1,1,2,1,13.333,8.167,0.474
3,17,1,5,1,13,0,21,1,2,8,0,6,0,0,9,0,1,1,1,3,1,1,0,1,1,1,5,0,1,0,0,1,0,29.0,7.0,0.531
2,10,4,7,3,3,0,17,1,1,12,2,8,2,0,9,3,1,1,1,3,1,1,0,1,1,1,6,1,1,1,0,2,1,14.0,9.583,0.772
9,25,14,19,9,9,0,30,2,8,44,6,19,3,0,30,15,1,1,1,5,1,1,0,1,1,2,12,1,1,1,0,3,1,15.125,13.071,0.773
3,4,1,7,0,3,0,8,1,3,12,2,7,2,0,8,5,1,1,1,2,0,1,0,1,1,1,6,1,1,1,0,2,1,16.5,7.75,0.696
2,1,1,6,2,2,1,2,0,1,6,0,5,2,0,3,0,1,1,1,3,1,1,1,1,0,1,3,0,1,1,0,1,0,34.0,36.5,0.728
3,8,5,8,3,3,0,9,0,3,14,4,12,3,0,12,1,1,1,1,3,1,1,0,1,0,2,5,1,1,1,0,2,1,12.429,8.286,0.606
5,9,14,8,4,1,0,8,2,1,14,0,7,4,0,8,1,1,1,1,4,1,1,0,1,1,1,7,0,1,1,0,1,1,14.333,11.429,0.839
2,3,1,3,1,2,0,6,0,0,4,0,2,1,0,4,0,1,1,1,2,1,1,0,1,0,0,4,0,1,1,0,1,0,14.5,13.0,0.788
12,9,6,4,3,5,0,18,1,3,14,0,7,3,0,9,3,1,1,1,1,1,1,0,1,1,1,6,0,1,1,0,2,1,10.778,6.556,0.574
20,21,13,14,4,12,0,29,2,7,42,0,20,8,0,30,6,1,1,1,3,1,1,0,1,1,2,10,0,1,1,0,3,1,20.818,13.091,0.654
2,1,4,7,3,3,0,7,2,1,11,0,5,5,0,7,0,1,1,1,4,1,1,0,1,1,1,5,0,1,1,0,1,0,14.5,12.0,0.836
5,9,9,9,8,5,0,12,1,1,23,0,23,5,0,14,5,1,1,1,3,1,1,0,1,1,1,5,0,1,1,0,1,1,16.125,12.5,0.436
2,2,0,1,0,0,0,1,0,0,3,0,3,0,0,2,0,1,1,0,1,0,0,0,1,0,0,2,0,1,0,0,1,0,4.667,4.0,0.756
2,3,2,3,2,0,0,3,1,1,4,1,4,1,0,4,0,1,1,1,1,1,0,0,1,1,1,3,1,1,1,0,1,0,31.0,12.0,0.508
15,16,24,16,8,10,0,19,4,7,19,4,26,2,0,13,1,1,1,1,4,1,1,0,1,1,2,4,1,1,1,0,2,1,20.444,12.063,0.417
9,15,12,8,5,6,1,21,0,4,17,0,14,3,0,12,0,1,1,1,4,1,1,1,1,0,1,6,0,1,1,0,1,0,31.0,25.0,0.635
2,2,0,3,1,2,0,4,0,0,5,0,3,2,0,4,0,1,1,0,2,1,1,0,1,0,0,2,0,1,1,0,2,0,9.333,11.0,0.668
3,2,2,2,1,3,0,7,0,0,2,1,5,1,0,2,0,1,1,1,2,1,1,0,1,0,0,2,1,1,1,0,1,0,31.0,13.0,0.635
3,3,3,5,2,0,0,2,0,1,6,0,6,3,0,5,0,1,1,1,3,1,0,0,1,0,1,3,0,1,1,0,1,0,13.0,12.667,0.679
15,15,6,22,4,7,0,36,0,4,30,1,19,6,0,18,14,1,1,1,3,1,1,0,1,0,2,5,1,1,1,0,2,1,13.133,9.067,0.453
8,7,8,11,5,1,0,9,1,0,11,1,8,1,0,3,1,1,1,1,3,1,1,0,1,1,0,6,1,1,1,0,1,1,15.0,9.8,0.653
1,3,3,5,4,5,0,9,0,3,5,0,2,1,0,9,0,1,1,1,3,1,1,0,1,0,1,3,0,1,1,0,1,0,25.0,8.5,0.5
13,24,27,18,8,15,0,36,0,9,46,1,31,8,0,37,3,1,1,1,5,1,1,0,1,0,2,10,1,1,1,0,3,1,15.333,10.792,0.681
10,12,7,13,6,9,0,22,8,5,24,10,40,3,7,21,9,1,1,1,2,1,1,0,1,1,1,8,1,1,1,1,3,1,15.462,6.923,0.549
3,3,0,3,1,1,0,4,0,1,7,0,0,2,0,5,0,1,1,0,2,1,1,0,1,0,1,4,0,0,1,0,2,0,30.0,31.5,0.904
2,4,0,4,1,0,0,4,1,2,8,0,7,5,0,9,1,1,1,0,3,1,0,0,1,1,2,4,0,1,1,0,1,1,9.6,9.2,0.714
5,14,4,7,2,6,1,13,1,3,16,4,13,1,0,12,4,1,1,1,2,1,1,1,1,1,2,5,1,1,1,0,1,1,21.2,9.0,0.481
11,11,13,13,8,11,1,34,2,11,21,1,27,7,0,28,8,1,1,1,4,1,1,1,1,1,2,8,1,1,1,0,1,1,18.818,11.455,0.59
7,5,2,5,3,3,0,9,0,0,6,0,7,2,0,5,0,1,1,1,2,1,1,0,1,0,0,2,0,1,1,0,1,0,27.5,16.0,0.286
3,2,1,6,2,0,0,3,0,1,5,2,3,0,0,1,1,1,1,1,2,1,0,0,1,0,1,3,1,1,0,0,1,1,7.75,4.0,0.508
6,7,6,11,6,13,0,13,2,1,17,0,17,3,0,13,1,1,1,1,2,1,1,0,1,1,1,5,0,1,1,0,2,1,16.571,16.429,0.591
3,2,3,7,2,5,0,9,0,0,9,1,7,3,1,10,0,1,1,1,3,1,1,0,1,0,0,4,1,1,1,1,2,0,15.25,10.75,0.634
0,1,0,4,0,0,0,4,0,1,10,0,5,0,0,5,0,0,1,0,3,0,0,0,1,0,1,4,0,1,0,0,1,0,31.0,43.0,0.889
0,1,0,2,1,0,0,2,0,0,4,0,3,0,0,3,0,0,1,0,2,1,0,0,1,0,0,2,0,1,0,0,1,0,5.333,8.0,0.707
4,6,8,8,5,4,0,12,1,1,13,0,6,3,0,13,0,1,1,1,3,1,1,0,1,1,1,4,0,1,1,0,2,0,28.333,16.583,0.614
2,2,1,4,1,3,0,4,0,2,5,0,5,4,1,5,1,1,1,1,2,1,1,0,1,0,1,2,0,1,1,1,1,1,13.0,20.333,0.566
3,4,6,2,2,1,0,4,1,4,10,0,5,0,0,10,0,1,1,1,1,1,1,0,1,1,2,6,0,1,0,0,1,0,17.333,11.333,0.686
16,31,16,22,12,21,2,45,1,14,43,0,22,12,1,37,4,1,1,1,3,1,1,1,1,1,2,6,0,1,1,1,2,1,37.125,23.0,0.41
1,1,0,2,0,0,0,0,0,1,2,0,2,0,0,2,0,1,1,0,1,0,0,0,0,0,1,2,0,1,0,0,1,0,11.0,6.0,0.426
4,8,9,6,4,3,0,13,0,1,18,0,9,5,1,17,3,1,1,1,3,1,1,0,1,0,1,8,0,1,1,1,2,1,20.0,15.6,0.707
7,18,5,7,9,12,0,36,5,5,25,8,33,4,0,30,2,1,1,1,3,1,1,0,1,1,2,8,1,1,1,0,2,1,34.333,12.667,0.591
4,4,4,5,1,3,0,12,0,0,12,0,4,4,0,8,0,1,1,1,2,1,1,0,1,0,0,6,0,1,1,0,2,0,20.333,17.667,0.815
4,2,4,0,0,1,0,4,0,0,2,0,6,0,0,3,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,2,1,13.5,2.0,0.272
13,10,6,11,7,9,0,19,0,5,31,0,20,2,1,23,2,1,1,1,3,1,1,0,1,0,1,7,0,1,1,1,1,1,13.167,6.75,0.506
0,0,0,0,0,0,0,2,2,2,0,6,8,0,4,0,2,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,22.0,0.0,0.151
14,18,22,33,10,13,1,32,4,8,32,13,36,6,2,28,1,1,1,1,5,1,1,1,1,1,2,8,1,1,1,1,3,1,18.133,13.733,0.557
0,1,3,0,1,2,1,1,0,0,3,3,2,1,0,3,0,0,1,1,0,1,1,1,1,0,0,3,1,1,1,0,1,0,21.0,12.0,0.617
9,18,25,20,6,12,2,26,3,7,38,3,27,4,1,23,4,1,1,1,4,1,1,1,1,1,2,5,1,1,1,1,3,1,19.0,14.833,0.421
5,8,5,5,3,10,1,16,0,3,10,2,15,0,0,8,1,1,1,1,2,1,1,1,1,0,2,5,1,1,0,0,1,1,11.5,5.375,0.516
3,5,2,7,3,3,1,11,1,0,12,1,5,4,0,8,0,1,1,1,3,1,1,1,1,1,0,7,1,1,1,0,1,0,22.0,14.333,0.783
3,4,1,5,2,1,0,12,0,0,12,6,13,5,2,10,1,1,1,1,3,1,1,0,1,0,0,5,1,1,1,1,1,1,15.0,7.0,0.653
2,5,2,5,2,0,0,18,0,1,11,1,6,0,1,10,0,1,1,1,3,1,0,0,1,0,1,2,1,1,0,1,1,0,21.0,5.0,0.356
